1.134130737304687500e+03;1.355051147460937500e+03;5.186054687500000000e+02
1.568134277343750000e+03;3.999902648925781250e+02;1.000820678710937500e+03
2.331628875732421875e+02;1.588311767578125000e+03;1.339226684570312500e+03
1.683892944335937500e+03;1.717860565185546875e+02;1.037061401367187500e+03
1.533039184570312500e+03;4.162458496093750000e+02;1.449719848632812500e+02
1.636412109375000000e+03;1.053942016601562500e+03;1.675798950195312500e+02
7.107067260742187500e+02;1.686603851318359375e+02;1.575519409179687500e+03
1.633824340820312500e+03;9.682302856445312500e+02;1.829239807128906250e+02
6.745659790039062500e+02;5.221027832031250000e+02;1.445851928710937500e+03
1.513107666015625000e+03;2.933945617675781250e+02;5.089169006347656250e+02
1.572754760742187500e+03;2.036875152587890625e+02;3.844395751953125000e+02
1.650419433593750000e+03;1.037741455078125000e+03;1.372079162597656250e+02
1.564587158203125000e+03;1.173559204101562500e+03;2.545776367187500000e+02
1.649789672851562500e+03;1.055661499023437500e+03;1.359089202880859375e+02
4.893078613281250000e+02;2.642859497070312500e+02;1.686049194335937500e+03
7.350374145507812500e+02;1.025963897705078125e+02;1.596967895507812500e+03
1.381079956054687500e+03;9.573800048828125000e+02;1.429620727539062500e+03
1.252190429687500000e+03;1.839347076416015625e+02;1.595144531250000000e+03
4.542293701171875000e+02;1.596134399414062500e+03;7.412475585937500000e+02
3.389666748046875000e+02;1.604886718750000000e+03;1.044488037109375000e+03
