Total recording time: 2006 ms
time, x, y, z, h
1750070537.209597, 0.0, -0.31, 0.31, 51.0
1750070537.2596536, 0.0, -0.31, 0.31, 52.0
1750070537.3082685, 0.0, -0.31, 0.31, 51.0
1750070537.3572016, 0.0, -0.31, 0.31, 50.0
1750070537.4021537, 0.0, -0.31, 0.31, 51.0
1750070537.4517443, 0.0, -0.31, 0.31, 49.0
1750070537.496988, 0.0, -0.31, 0.31, 47.0
1750070537.542063, 0.0, -0.31, 0.31, 51.0
1750070537.5905917, 0.0, -0.31, 0.31, 51.0
1750070537.6352434, 0.0, -0.31, 0.31, 50.0
1750070537.6807647, 0.0, -0.31, 0.31, 51.0
1750070537.6807647, -1, -1, -1, -1
1750070538.033439, 0.0, -0.31, 0.31, 49.0
1750070538.082732, 0.0, -0.31, 0.31, 52.0
1750070538.1278248, 0.0, -0.31, 0.31, 48.0
1750070538.1730716, 0.0, -0.31, 0.31, 48.0
1750070538.221729, 0.0, -0.31, 0.31, 51.0
1750070538.271007, 0.0, -0.31, 0.31, 52.0
1750070538.319586, 0.0, -0.31, 0.31, 51.0
1750070538.364741, 0.0, -0.31, 0.31, 50.0
1750070538.4103463, 0.0, -0.31, 0.31, 52.0
1750070538.4596705, 0.0, -0.31, 0.31, 51.0
1750070538.5043104, 0.0, -0.31, 0.31, 51.0
1750070538.552918, 0.0, -0.31, 0.31, 50.0
1750070538.6025255, 0.0, -0.31, 0.31, 53.0
1750070538.6512444, 0.0, -0.31, 0.31, 50.0
1750070538.6966538, 0.0, -0.31, 0.31, 51.0
1750070538.7422233, 0.0, -0.31, 0.31, 51.0
1750070538.7873032, 0.0, -0.31, 0.31, 52.0
1750070538.8319602, 0.0, -0.31, 0.31, 51.0
1750070538.880789, 0.0, -0.31, 0.31, 49.0
1750070538.9304416, 0.0, -0.31, 0.31, 51.0
1750070538.9755385, 0.0, -0.31, 0.31, 52.0
1750070539.024155, 0.0, -0.31, 0.31, 51.0
1750070539.0733871, 0.0, -0.31, 0.31, 51.0
1750070539.122984, 0.0, -0.31, 0.31, 50.0
1750070539.1712983, 0.0, -0.31, 0.31, 50.0
