Total recording time: 124507 ms
time, x, y, z, h
1750071063.3211882, 0.0, -0.37, 0.44, 51.0
1750071063.366404, 0.0, -0.37, 0.44, 51.0
1750071063.4160416, 0.0, -0.37, 0.44, 50.0
1750071063.4611478, 0.0, -0.37, 0.44, 51.0
1750071063.5056114, 0.0, -0.37, 0.44, 50.0
1750071063.5553298, 0.0, -0.37, 0.44, 51.0
1750071063.6039472, 0.0, -0.37, 0.44, 50.0
1750071063.6533573, 0.0, -0.37, 0.44, 51.0
1750071063.6989458, 0.0, -0.37, 0.44, 52.0
1750071063.7435055, 0.0, -0.37, 0.44, 51.0
1750071063.7922611, 0.0, -0.37, 0.44, 49.0
1750071063.7922611, -1, -1, -1, -1
1750071187.7806726, 345.94, -0.63, -1.19, 53.0
