Total recording time: 31643 ms
time, x, y, z, h
1750069985.2338321, 360.0, -0.37, 0.0, 48.0
1750069985.279108, 360.0, -0.37, 0.0, 51.0
1750069985.3239658, 360.0, -0.37, 0.0, 50.0
1750069985.3729777, 360.0, -0.37, 0.0, 50.0
1750069985.4180634, 360.0, -0.37, 0.0, 51.0
1750069985.4665873, 360.0, -0.37, 0.0, 53.0
1750069985.5161872, 360.0, -0.37, 0.0, 51.0
1750069985.5657828, 360.0, -0.37, 0.0, 50.0
1750069985.6148472, 360.0, -0.37, 0.0, 50.0
1750069985.6633787, 360.0, -0.37, 0.0, 51.0
1750069985.7084277, 360.0, -0.37, 0.0, 52.0
1750069985.7084277, -1, -1, -1, -1
1750070016.8328028, 0.0, -0.37, 0.0, 47.0
