Total recording time: 1040 ms
time, x, y, z, h
1750069492.224085, 0.0, -1.88, 0.37, 52.0
1750069492.2734604, 0.0, -1.88, 0.37, 52.0
1750069492.3224046, 0.0, -1.88, 0.37, 51.0
1750069492.3681128, 0.0, -1.88, 0.37, 49.0
1750069492.4167392, 0.0, -1.88, 0.37, 51.0
1750069492.4622324, 0.0, -1.88, 0.37, 50.0
1750069492.5074828, 0.0, -1.88, 0.37, 50.0
1750069492.5515869, 0.0, -1.88, 0.37, 50.0
1750069492.5973246, 0.0, -1.88, 0.37, 50.0
1750069492.6449976, 0.0, -1.88, 0.37, 51.0
1750069492.6952355, 0.0, -1.88, 0.37, 51.0
1750069492.6952355, -1, -1, -1, -1
1750069493.0438745, 0.0, -1.88, 0.37, 52.0
1750069493.0890157, 0.0, -1.88, 0.37, 51.0
1750069493.129694, 0.0, -1.88, 0.37, 50.0
1750069493.1751127, 0.0, -1.88, 0.37, 52.0
1750069493.2157733, 0.0, -1.88, 0.37, 52.0
