Total recording time: 2040 ms
time, x, y, z, h
1750071260.6518486, 360.0, -0.31, 0.56, 47.0
1750071260.7584999, 360.0, -0.31, 0.56, 50.0
1750071260.859888, 360.0, -0.31, 0.56, 52.0
1750071260.9623382, 360.0, -0.31, 0.56, 51.0
1750071261.0639122, 360.0, -0.31, 0.56, 47.0
1750071261.0639122, -1, -1, -1, -1
1750071261.4686902, 360.0, -0.31, 0.56, 51.0
1750071261.5705042, 360.0, -0.31, 0.56, 50.0
1750071261.6730163, 360.0, -0.31, 0.56, 51.0
1750071261.7753747, 360.0, -0.31, 0.56, 50.0
1750071261.8777509, 360.0, -0.31, 0.56, 52.0
1750071261.9794471, 360.0, -0.31, 0.56, 53.0
1750071262.0812979, 360.0, -0.31, 0.56, 50.0
1750071262.1831017, 360.0, -0.31, 0.56, 50.0
1750071262.2846854, 360.0, -0.31, 0.56, 49.0
1750071262.3864822, 360.0, -0.31, 0.56, 50.0
1750071262.4886065, 360.0, -0.31, 0.56, 50.0
1750071262.5902495, 360.0, -0.31, 0.56, 51.0
