Total recording time: 1022 ms
time, x, y, z, h
1750069844.2942014, 2.0, 4.13, 3.25, 48.0
1750069844.3426785, 2.0, 4.56, 3.38, 45.0
1750069844.388156, 2.06, 4.69, 3.31, 47.0
1750069844.432449, 2.06, 4.13, 2.94, 46.0
1750069844.478003, 2.06, 3.69, 2.63, 44.0
1750069844.5229821, 2.06, 3.13, 2.25, 44.0
1750069844.571868, 2.0, 3.13, 1.63, 46.0
1750069844.621422, 1.88, 2.75, 1.25, 46.0
1750069844.6706953, 1.81, 1.81, 1.12, 48.0
1750069844.7151947, 1.75, 1.12, 0.81, 51.0
1750069844.7650008, 1.69, 0.63, 0.5, 49.0
1750069844.7650008, -1, -1, -1, -1
1750069844.8465798, 1.75, 0.75, 0.56, 48.0
1750069844.8882332, 1.75, 0.94, 0.63, 47.0
1750069844.9289298, 1.75, 1.0, 0.75, 49.0
1750069844.9742231, 1.75, 1.12, 1.12, 47.0
1750069845.0145166, 1.63, 1.0, 1.56, 49.0
1750069845.0595622, 1.44, 0.44, 2.31, 52.0
1750069845.1052492, 1.06, 0.19, 3.0, 52.0
1750069845.145939, 0.75, -0.06, 3.56, 50.0
1750069845.190485, 0.37, -0.69, 3.94, 52.0
1750069845.2317805, 0.0, -0.94, 4.06, 51.0
1750069845.2723236, 359.56, -0.44, 4.06, 48.0
