Total recording time: 1525 ms
time, x, y, z, h
1750071292.9670064, -1, -1, -1, -1
1750071293.3713524, 0.0, -0.25, 0.56, 50.0
1750071293.4725683, 0.0, -0.25, 0.56, 51.0
1750071293.5752704, 0.0, -0.25, 0.56, 48.0
1750071293.6773815, 0.0, -0.25, 0.56, 50.0
1750071293.7792819, 0.0, -0.25, 0.56, 48.0
1750071293.8806553, 0.0, -0.25, 0.56, 49.0
1750071293.9821534, 0.0, -0.25, 0.56, 51.0
1750071294.084822, 0.0, -0.25, 0.56, 50.0
1750071294.1864777, 0.0, -0.25, 0.56, 50.0
1750071294.2889056, 0.0, -0.25, 0.56, 50.0
1750071294.3898802, 0.0, -0.25, 0.56, 48.0
1750071294.4921393, 0.0, -0.25, 0.56, 45.0
