Total recording time: 2032 ms
time, x, y, z, h
1750071577.9178524, 360.0, -0.25, 0.19, 50.0
1750071578.019837, 360.0, -0.25, 0.19, 52.0
1750071578.1216543, 360.0, -0.25, 0.19, 50.0
1750071578.2230518, 360.0, -0.25, 0.19, 50.0
1750071578.3253293, 360.0, -0.25, 0.19, 51.0
1750071578.3253293, -1, -1, -1, -1
1750071579.0314767, 0.06, -1.56, -2.5, 59.0
1750071579.133181, 0.06, -1.75, -2.56, 60.0
1750071579.2356539, 0.06, -1.81, -2.44, 62.0
1750071579.3371558, 0.06, -1.81, -2.19, 65.0
1750071579.4394374, 0.06, -1.75, -1.88, 66.0
1750071579.5411913, 0.06, -1.56, -1.5, 68.0
1750071579.6439323, 0.06, -1.44, -0.63, 68.0
1750071579.7457604, 0.0, -1.19, 0.19, 70.0
1750071579.8481717, 0.0, -0.44, 0.69, 71.0
