1749750862.3760767, 359.94, -2.94, 2.81, 74.0
1749750862.6816478, 359.94, -2.81, 2.88, 73.0
1749750862.987402, 359.94, -2.56, 3.06, 73.0
1749750863.29316, 359.94, -2.69, 3.0, 73.0
1749750863.6011255, 359.94, -2.75, 3.31, 74.0
1749750863.9113681, 359.94, -2.69, 3.81, 76.0
1749750864.2210033, 359.88, -2.56, 4.44, 79.0
1749750864.528376, 359.81, -2.56, 5.06, 83.0
1749750864.8333707, 359.75, -2.13, 5.44, 81.0
1749750865.1427498, 359.75, -1.75, 5.69, 83.0
1749750865.4475005, 359.75, -1.94, 5.69, 81.0
1749750865.7568176, 359.75, -2.25, 5.94, 83.0
1749750866.0631332, 359.75, -1.81, 6.19, 85.0
1749750866.3689308, 359.69, -1.94, 6.25, 88.0
1749750866.6732183, 359.75, -1.88, 6.31, 87.0
