Total recording time: 2038 ms
time, x, y, z, h
1750070491.006014, 0.0, -0.37, 0.19, 49.0
1750070491.0537674, 0.0, -0.37, 0.19, 49.0
1750070491.103799, 0.0, -0.37, 0.19, 49.0
1750070491.1493196, 0.0, -0.37, 0.19, 49.0
1750070491.1935031, 0.0, -0.37, 0.19, 51.0
1750070491.242931, 0.0, -0.37, 0.19, 52.0
1750070491.2882535, 0.0, -0.37, 0.19, 52.0
1750070491.3329048, 0.0, -0.37, 0.19, 48.0
1750070491.3783584, 0.0, -0.37, 0.19, 49.0
1750070491.4230738, 0.0, -0.37, 0.19, 52.0
1750070491.4724133, 0.0, -0.37, 0.19, 48.0
1750070491.4724133, -1, -1, -1, -1
1750070491.5547237, 0.0, -0.37, 0.19, 52.0
1750070491.599337, 0.0, -0.37, 0.19, 51.0
1750070491.644945, 0.0, -0.37, 0.19, 50.0
1750070491.6932752, 0.0, -0.37, 0.19, 54.0
1750070491.73892, 0.0, -0.37, 0.19, 49.0
1750070491.7871451, 0.0, -0.37, 0.19, 52.0
1750070491.8367903, 0.0, -0.37, 0.19, 51.0
1750070491.8854082, 0.0, -0.37, 0.19, 50.0
1750070491.9310915, 0.0, -0.37, 0.19, 52.0
1750070491.9763381, 0.0, -0.37, 0.19, 48.0
1750070492.0249891, 0.0, -0.37, 0.19, 49.0
1750070492.074847, 0.0, -0.37, 0.19, 49.0
1750070492.119696, 0.0, -0.37, 0.19, 50.0
1750070492.164421, 0.0, -0.37, 0.19, 52.0
1750070492.209278, 0.0, -0.37, 0.19, 52.0
1750070492.2543156, 0.0, -0.37, 0.19, 51.0
1750070492.299886, 0.0, -0.37, 0.19, 52.0
1750070492.3489485, 0.0, -0.37, 0.19, 48.0
1750070492.3944936, 0.0, -0.37, 0.19, 50.0
1750070492.4390416, 0.0, -0.37, 0.19, 52.0
1750070492.4841387, 0.0, -0.37, 0.19, 50.0
1750070492.5290966, 0.0, -0.37, 0.19, 51.0
1750070492.5745654, 0.0, -0.37, 0.19, 49.0
1750070492.6192992, 0.0, -0.37, 0.19, 51.0
1750070492.6687489, 0.0, -0.37, 0.19, 52.0
1750070492.7172983, 0.0, -0.37, 0.19, 53.0
1750070492.7663565, 0.0, -0.37, 0.19, 51.0
1750070492.8159072, 0.0, -0.37, 0.19, 52.0
1750070492.8604374, 0.0, -0.37, 0.19, 50.0
1750070492.905727, 0.0, -0.37, 0.19, 51.0
1750070492.95125, 0.0, -0.37, 0.19, 51.0
1750070493.0002227, 0.0, -0.37, 0.19, 48.0
