1.575590820312500000e+03;4.120798034667968750e+02;1.025532379150390625e+02
1.544249633789062500e+03;1.479391723632812500e+03;1.665322265625000000e+02
9.687402954101562500e+02;1.197849609375000000e+03;1.295613891601562500e+03
5.262004394531250000e+02;1.524907104492187500e+03;7.749404296875000000e+02
1.461936645507812500e+03;1.565991943359375000e+03;1.743722534179687500e+02
9.746445922851562500e+02;1.736667846679687500e+03;6.621183013916015625e+01
1.430810302734375000e+03;7.183811035156250000e+02;1.378180419921875000e+03
1.309247924804687500e+03;7.811369018554687500e+02;1.424981567382812500e+03
8.440670776367187500e+02;1.745013916015625000e+03;8.417311096191406250e+01
7.272018432617187500e+02;1.704095214843750000e+03;1.696910552978515625e+02
