Valve0_duration,Valve1_duration,Valve2_duration,X,Y,Z
1834,1201,476,-0.3700000000000001,-7.1899999999999995,5.25
227,994,589,7.4399999999999995,-0.94,5.310000000000002
1615,1519,1686,2.25,-0.32,5.689999999999998
1248,1831,141,4.3100000000000005,-10.88,5.939999999999998
1145,232,462,-4.3100000000000005,-2.63,6.1299999999999955
1310,174,1312,-6.3100000000000005,4.3100000000000005,5.689999999999998
95,1461,854,11.19,1.25,6.0
243,1891,890,11.44,0.62,5.8799999999999955
998,1457,1181,4.630000000000001,-0.51,6.0
509,1581,1263,8.69,1.4300000000000002,6.060000000000002
887,879,324,2.8099999999999996,-5.63,6.060000000000002
1324,1633,448,3.5599999999999996,-8.57,6.439999999999998
232,445,1037,5.0,4.8100000000000005,6.5
945,380,871,-1.5,1.87,6.439999999999998
478,1431,194,7.6899999999999995,-6.51,6.439999999999998
1902,174,967,-5.8100000000000005,0.43000000000000005,6.8799999999999955
1469,647,740,-2.87,-2.38,6.939999999999998
390,743,1581,4.3100000000000005,5.8100000000000005,6.939999999999998
376,1686,989,9.75,1.12,6.689999999999998
661,1209,501,6.25,-4.38,6.75
570,1811,1090,8.94,0.18000000000000005,6.810000000000002
894,1823,1161,6.630000000000001,-0.8200000000000001,6.939999999999998
87,480,784,7.9399999999999995,3.4299999999999997,6.8799999999999955
10,668,456,8.88,-0.26,6.689999999999998
759,301,1552,0.25,5.8100000000000005,7.439999999999998
1535,1581,636,2.25,-6.13,7.689999999999998
1764,338,1933,-3.87,3.5,7.689999999999998
718,708,1894,3.0,5.25,7.439999999999998
1635,725,1593,-1.62,2.0,7.560000000000002
866,211,170,-2.69,-3.82,7.439999999999998
1404,523,171,-3.5,-7.57,7.5
1114,1880,134,4.5600000000000005,-10.82,7.75
1483,1813,1052,3.4400000000000004,-3.13,8.310000000000002
1019,63,1904,-3.44,7.3100000000000005,8.560000000000002
952,1215,173,3.6900000000000004,-8.51,8.439999999999998
1173,127,1949,-3.81,6.0,8.439999999999998
1860,308,1429,-5.63,3.12,7.75
1413,1236,269,0.5599999999999996,-9.38,7.810000000000002
318,164,1011,1.38,5.37,8.25
708,1245,327,4.880000000000001,-5.63,8.060000000000002
1585,1742,1375,2.88,-2.13,8.75
1682,211,1173,-5.0,1.6800000000000002,8.310000000000002
950,1751,41,5.5600000000000005,-10.57,8.75
1251,409,1259,-1.44,1.4300000000000002,9.129999999999995
682,205,1273,-0.81,5.43,9.189999999999998
1807,1859,518,2.1900000000000004,-8.57,9.379999999999995
1988,1182,1628,0.4400000000000004,-1.26,9.879999999999995
1242,615,1137,-1.06,0.30999999999999994,10.129999999999995
1679,851,1610,-1.37,0.8099999999999999,10.379999999999995
480,1833,373,9.0,-6.6899999999999995,10.379999999999995
1970,1765,1975,2.13,-0.88,10.810000000000002
1366,1166,1667,1.8099999999999996,0.5599999999999999,12.060000000000002
517,1947,555,9.25,-4.76,12.0
252,1207,1389,9.31,3.25,11.939999999999998
1800,958,136,-0.06000000000000005,-10.260000000000002,11.810000000000002
338,502,532,4.5,-1.0,12.060000000000002
1677,1944,236,3.4400000000000004,-11.82,12.189999999999998
1902,16,1666,-6.63,3.75,11.879999999999995
1130,228,1538,-4.8100000000000005,5.18,11.5
1760,1363,1820,0.0,0.4900000000000001,12.0
604,1689,1567,8.0,1.9300000000000002,13.0
1680,840,470,-0.6200000000000001,-6.6899999999999995,13.060000000000002
1239,425,787,-2.94,-1.13,13.060000000000002
100,446,869,4.13,4.43,13.0
549,720,165,3.5599999999999996,-4.9399999999999995,13.0
179,1331,1821,9.44,5.37,13.379999999999995
5,957,1336,8.94,5.68,13.379999999999995
943,1138,85,3.5599999999999996,-7.82,13.379999999999995
1347,38,1339,-5.4399999999999995,4.12,13.189999999999998
422,1053,1314,6.6899999999999995,3.9299999999999997,13.75
1697,459,488,-3.87,-4.32,13.689999999999998
1292,1799,1716,3.1900000000000004,-0.51,14.189999999999998
1148,168,237,-3.94,-4.57,13.939999999999998
1055,1923,137,4.5,-11.38,14.129999999999995
455,1360,404,7.75,-5.1899999999999995,14.5
1745,692,1704,-2.06,1.6800000000000002,14.629999999999995
328,702,1990,4.880000000000001,8.0,14.879999999999995
1251,607,276,-2.12,-6.01,14.879999999999995
109,227,1180,3.25,7.87,15.689999999999998
1046,1967,890,5.130000000000001,-2.69,15.689999999999998
399,1586,922,9.0,-0.13,15.75
1804,541,159,-3.75,-8.26,15.5
533,372,1252,0.6900000000000004,5.25,15.879999999999995
1284,414,772,-3.69,-0.19,15.689999999999998
472,703,1690,3.0599999999999996,6.3100000000000005,15.939999999999998
517,819,1383,4.06,5.12,16.060000000000002
1149,1987,217,4.19,-9.63,16.129999999999995
320,538,248,3.63,-2.38,17.060000000000002
201,619,1728,5.380000000000001,8.309999999999999,17.379999999999995
86,721,1876,6.6899999999999995,9.25,17.439999999999998
183,741,1870,6.5600000000000005,9.12,17.689999999999998
1159,754,1852,-0.75,4.62,18.0
1831,1834,543,0.9400000000000004,-7.1899999999999995,18.189999999999998
637,674,70,1.4400000000000004,-5.51,18.310000000000002
578,7,257,-2.0,-1.51,18.379999999999995
699,1270,248,4.380000000000001,-6.76,18.560000000000002
1434,1974,1256,2.75,-1.63,19.810000000000002
741,1413,335,5.0600000000000005,-6.76,20.0
1482,154,7,-6.5600000000000005,-6.6899999999999995,19.879999999999995
1365,1964,315,2.13,-10.010000000000002,20.25
1636,766,1793,-2.75,2.37,20.629999999999995
517,94,158,-2.5,-1.44,20.629999999999995
1283,389,1252,-5.1899999999999995,3.18,20.5
220,1516,1173,8.56,3.87,20.439999999999998
107,1522,64,8.31,-5.4399999999999995,19.939999999999998
43,1764,1764,11.0,6.3100000000000005,20.879999999999995
328,1109,1506,7.25,4.93,21.0
334,265,988,1.5,6.0,21.189999999999998
1295,524,995,-3.31,1.1800000000000002,21.129999999999995
1932,1623,1907,-0.43999999999999995,0.05999999999999994,21.629999999999995
1221,1745,283,2.1900000000000004,-9.07,21.75
654,161,1367,-2.56,6.43,20.439999999999998
1551,1413,243,-0.06000000000000005,-9.760000000000002,20.75
1492,592,752,-3.87,-2.32,20.939999999999998
1951,1335,1463,-0.5,-1.13,22.0
903,730,989,-0.56,0.8099999999999999,22.310000000000002
1685,1876,425,0.75,-9.010000000000002,22.689999999999998
125,49,1981,0.25,10.93,23.310000000000002
1419,291,1742,-6.25,5.3100000000000005,22.75
283,1536,255,7.630000000000001,-5.26,22.5
1426,517,639,-4.06,-2.94,22.439999999999998
1756,1536,1207,-0.25,-2.69,23.0
1835,744,661,-4.06,-4.44,23.060000000000002
941,304,701,-3.75,0.30999999999999994,23.689999999999998
814,512,1273,-1.87,4.0,23.879999999999995
577,24,1707,-3.5,9.25,23.810000000000002
1255,1165,182,-0.06000000000000005,-8.88,24.0
1368,148,1709,-7.0600000000000005,5.18,23.629999999999995
1637,839,1114,-3.0,-0.5700000000000001,23.810000000000002
1678,1440,351,-0.6200000000000001,-9.57,24.129999999999995
1272,1949,468,2.0,-8.32,24.689999999999998
723,1112,1575,3.3099999999999996,2.75,25.5
1330,1803,582,1.5,-6.76,26.629999999999995
461,335,751,-0.5,1.87,26.879999999999995
1686,1046,588,-2.12,-5.51,27.129999999999995
1380,1157,538,-0.69,-6.6899999999999995,27.5
495,508,1431,0.6900000000000004,5.0600000000000005,27.879999999999995
1919,646,1908,-4.9399999999999995,2.75,27.75
2,11,1986,-0.69,11.62,28.0
762,457,396,-2.0,-2.07,27.879999999999995
1123,1100,222,-0.06000000000000005,-8.760000000000002,28.25
1852,1064,1124,-2.0,-1.8199999999999998,29.379999999999995
558,192,1944,-3.0,8.68,29.439999999999998
1485,26,198,-9.129999999999999,-4.32,29.129999999999995
1571,1590,938,-0.43999999999999995,-3.63,29.75
1954,1212,886,-1.94,-4.07,30.060000000000002
1826,1705,235,-1.12,-11.440000000000001,30.379999999999995
268,1240,231,5.630000000000001,-6.01,30.5
1155,433,868,-4.06,0.05999999999999994,30.5
1390,836,1175,-2.81,0.05999999999999994,30.689999999999998
1152,1686,948,1.5599999999999996,-2.69,32.0
1338,1140,1955,-0.69,1.6800000000000002,32.56
778,688,1782,-0.3700000000000001,5.12,32.879999999999995
553,735,1450,1.63,5.12,33.25
1356,1347,1983,-0.25,1.81,33.75
407,1798,645,6.75,-1.8199999999999998,33.75
147,1982,824,8.94,0.68,33.81
1497,1184,1092,-1.0,-1.63,34.0
1382,1897,1296,0.6299999999999999,-1.19,34.629999999999995
1314,998,1529,-1.75,1.62,35.379999999999995
145,105,605,-0.94,3.4299999999999997,35.44
206,505,1792,1.63,9.309999999999999,35.879999999999995
584,1676,426,3.9400000000000004,-4.01,36.0
474,715,1124,1.13,4.37,36.31
562,1071,1706,1.38,6.3100000000000005,36.75
735,1754,116,0.8799999999999999,-6.26,36.81
119,633,983,1.5,6.37,37.25
650,1726,1948,1.13,6.62,37.81
2993,3661,3212,0.81,-0.8099999999999999,0.5600000000000023
2240,2820,3884,3.69,-3.06,1.0
2723,1443,1571,1.06,6.63,1.0
912,1169,2429,5.9399999999999995,-2.56,0.5
1806,2290,3431,4.6899999999999995,-2.62,0.75
2986,3206,1853,-4.1899999999999995,3.51,1.1899999999999977
2203,2626,2385,0.1200000000000001,0.32,1.5
1076,3257,2889,-0.25,-6.62,2.3100000000000023
2527,796,2196,7.5,5.9399999999999995,2.1899999999999977
2000,2000,2000,2.56,0.13,0.18999999999999773
2993,3661,3212,0.81,-0.8099999999999999,0.5600000000000023
2240,2820,3884,3.69,-3.06,1.0
2723,1443,1571,1.06,6.63,1.0
912,1169,2429,5.9399999999999995,-2.56,0.5
1806,2290,3431,4.6899999999999995,-2.62,0.75
2986,3206,1853,-4.1899999999999995,3.51,1.1899999999999977
2203,2626,2385,0.1200000000000001,0.32,1.5
1076,3257,2889,-0.25,-6.62,2.3100000000000023
2527,796,2196,7.5,5.9399999999999995,2.1899999999999977
2000,2000,2000,2.56,0.13,0.18999999999999773
2993,3661,3212,0.81,-0.8099999999999999,0.5600000000000023
2240,2820,3884,3.69,-3.06,1.0
2723,1443,1571,1.06,6.63,1.0
912,1169,2429,5.9399999999999995,-2.56,0.5
1806,2290,3431,4.6899999999999995,-2.62,0.75
2986,3206,1853,-4.1899999999999995,3.51,1.1899999999999977
2203,2626,2385,0.1200000000000001,0.32,1.5
1076,3257,2889,-0.25,-6.62,2.3100000000000023
2527,796,2196,7.5,5.9399999999999995,2.1899999999999977
2000,2000,2000,2.56,0.13,0.18999999999999773
2993,3661,3212,0.81,-0.8099999999999999,0.5600000000000023
2240,2820,3884,3.69,-3.06,1.0
2723,1443,1571,1.06,6.63,1.0
912,1169,2429,5.9399999999999995,-2.56,0.5
1806,2290,3431,4.6899999999999995,-2.62,0.75
2986,3206,1853,-4.1899999999999995,3.51,1.1899999999999977
2203,2626,2385,0.1200000000000001,0.32,1.5
1076,3257,2889,-0.25,-6.62,2.3100000000000023
2527,796,2196,7.5,5.9399999999999995,2.1899999999999977
2000,2000,2000,2.56,0.13,0.18999999999999773
2993,3661,3212,0.81,-0.8099999999999999,0.5600000000000023
2240,2820,3884,3.69,-3.06,1.0
2723,1443,1571,1.06,6.63,1.0
912,1169,2429,5.9399999999999995,-2.56,0.5
1806,2290,3431,4.6899999999999995,-2.62,0.75
2986,3206,1853,-4.1899999999999995,3.51,1.1899999999999977
2203,2626,2385,0.1200000000000001,0.32,1.5
1076,3257,2889,-0.25,-6.62,2.3100000000000023
2527,796,2196,7.5,5.9399999999999995,2.1899999999999977
