Valve1_0,Valve1_1,Valve1_2,Valve2_0,Valve2_1,Valve2_2,Final_Effector_X,Final_Effector_Y,Final_Effector_Z
846.0,533.0,1776.0,166.0,1120.0,1068.0,2.699567475565005,6.032571975153102,174.20628085271125
599.0,1346.0,470.0,892.0,3.0,643.0,1.0816010325862107,-3.5252797832443106,166.33138191164693
1055.0,936.0,181.0,874.0,158.0,615.0,-3.2010289106596233,-3.1439060455102315,165.6089457642027
1229.0,1792.0,1429.0,1504.0,1782.0,1294.0,2.460744483575012,-2.435347393716107,192.5929968533689
1893.0,666.0,1133.0,933.0,1804.0,1869.0,-5.384785490266163,2.629602801066965,188.68005018910816
1755.0,473.0,1093.0,762.0,231.0,1826.0,-5.353576068779639,4.531067822424721,177.4146676320952
1652.0,1859.0,1755.0,1641.0,22.0,896.0,-0.32974931985999434,0.2637583224645259,186.37778109425832
917.0,632.0,1947.0,690.0,675.0,1593.0,2.6303018846469026,7.461206562409215,178.99873497429417
31.0,1357.0,1552.0,503.0,1523.0,608.0,8.729387282680522,0.14935802603071624,174.37096957389957
1488.0,1587.0,1198.0,280.0,1523.0,4.0,-0.025959702977847388,-3.2020913804767206,177.30672097763963
559.0,1980.0,53.0,1215.0,1492.0,1208.0,2.9381708408344265,-10.462948043447128,179.03239241059063
1779.0,289.0,201.0,1178.0,1693.0,986.0,-9.203322149327686,-1.0977338192960424,177.21401590934425
480.0,1438.0,298.0,740.0,1645.0,1737.0,3.387557472752487,-6.041181188209808,178.48775427758713
288.0,1377.0,1189.0,847.0,222.0,1720.0,5.88447809371244,0.394381815273421,174.92932352117805
993.0,1290.0,1295.0,1595.0,949.0,1379.0,1.3981440360548256,0.41122292300415336,184.73620901219726
48.0,1949.0,670.0,1342.0,913.0,511.0,6.619441981795107,-6.742591156296946,173.58748499281893
1088.0,612.0,1885.0,1262.0,1483.0,1903.0,1.4668920715448206,7.394130485381867,188.25789513478776
290.0,1510.0,575.0,117.0,602.0,1094.0,4.876873180298091,-3.99634698290235,167.399509682525
1923.0,1256.0,1299.0,175.0,472.0,1553.0,-2.757729316298244,1.1734490363876715,180.4141033735328
1512.0,1127.0,682.0,1686.0,348.0,578.0,-4.742941215397128,-2.004110021442279,176.4740449306327
1257.0,655.0,1876.0,1683.0,1304.0,1583.0,-0.19350254731654287,6.9583724234754785,188.9480980005945
95.0,988.0,126.0,1316.0,531.0,1759.0,2.6180903298730525,-3.4187138691435406,170.75431996144437
8.0,1283.0,107.0,579.0,834.0,1978.0,4.953593496120954,-5.059873382488521,170.4451859767673
133.0,925.0,1414.0,1549.0,1305.0,1027.0,5.957813635905872,2.3471570041242282,178.6154100206584
1426.0,1540.0,1645.0,1073.0,1886.0,1003.0,1.4100185937684722,-0.2284423694071943,190.26491699591662
741.0,1537.0,1145.0,1113.0,1918.0,1939.0,4.726998559837185,-2.1795727414768504,189.21922995200393
197.0,1185.0,1170.0,894.0,16.0,1847.0,5.700265339478205,1.5559759430497655,173.18176494199673
1606.0,1187.0,494.0,426.0,1523.0,1327.0,-3.518676640268133,-3.7415264246418656,179.74747449591814
868.0,1774.0,1962.0,1754.0,99.0,212.0,3.918626941351805,1.006322087361436,180.30217595846858
1900.0,407.0,777.0,609.0,1958.0,157.0,-7.071396111483939,0.24138390589408254,175.67681480877695
723.0,1933.0,220.0,1667.0,1395.0,1385.0,1.9384942585348954,-9.34509063614571,183.39452256153746
591.0,1549.0,552.0,1843.0,35.0,1705.0,1.774977577548946,-3.7278933291160437,178.25685228025597
763.0,784.0,1206.0,313.0,1087.0,909.0,2.016920403583022,1.9040339898723866,172.0996259253416
1444.0,1500.0,261.0,895.0,945.0,1799.0,-2.918403965772505,-5.7312509359347015,181.13314460845282
261.0,579.0,703.0,1399.0,137.0,26.0,0.6991861423851723,0.4820735035131566,161.99433195970104
1209.0,440.0,65.0,42.0,1217.0,1810.0,-4.10819439016756,-1.3805146265965407,170.55282990369724
1297.0,614.0,705.0,95.0,1083.0,1139.0,-2.552330088998098,0.49507838665882,171.4243568883837
1959.0,848.0,7.0,770.0,599.0,577.0,-8.617942256842579,-4.0286433205182135,170.0941678933976
829.0,1595.0,650.0,174.0,845.0,907.0,2.3446014773698436,-4.461390397171889,171.68092601045325
558.0,1380.0,1534.0,1091.0,1568.0,867.0,5.543358590606948,0.17611203080263993,181.99118703601178
1312.0,797.0,1130.0,589.0,325.0,1476.0,-1.6544845708434488,2.662877752436944,175.00256255328065
1160.0,1810.0,314.0,1705.0,732.0,308.0,-1.7857602620006343,-7.844094564094041,176.76960164018504
1919.0,423.0,956.0,942.0,1616.0,844.0,-7.048266738823505,2.067567943944896,180.3288773331268
175.0,768.0,1477.0,1156.0,1527.0,628.0,5.556881442262898,2.8499520996039904,175.39532088941607
742.0,1111.0,1229.0,1228.0,330.0,162.0,1.3246421790341478,0.4080498670679472,170.77462939352495
964.0,1806.0,528.0,1679.0,112.0,1341.0,0.2160530008810072,-5.42843820389796,179.01721170055595
1974.0,1476.0,808.0,772.0,649.0,47.0,-4.906465893797922,-3.645445354123013,175.36176077973818
1965.0,700.0,598.0,205.0,1593.0,521.0,-6.5373907512399505,-1.4542668600004678,174.55824690515314
284.0,1491.0,1804.0,828.0,1219.0,501.0,7.809281276064,0.9038549183847806,177.31743452398564
