Total recording time: 3517 ms
Valve inflation times (ms): [500, 1000, 1000]
time, x, y, z, h
1750073124.6149364, 360.0, 0.19, 1.37, 50.0
1750073124.6644342, 360.0, 0.19, 1.37, 50.0
1750073124.7133753, 360.0, 0.19, 1.37, 49.0
1750073124.7625852, 360.0, 0.19, 1.37, 48.0
1750073124.808199, 360.0, 0.19, 1.37, 51.0
1750073124.8568854, 360.0, 0.19, 1.37, 50.0
1750073124.9055548, 360.0, 0.19, 1.37, 50.0
1750073124.955065, 360.0, 0.19, 1.37, 48.0
1750073125.0035503, 360.0, 0.19, 1.37, 51.0
1750073125.0534418, 360.0, 0.19, 1.37, 49.0
1750073125.0988562, 360.0, 0.19, 1.37, 48.0
1750073125.0988562, -1, -1, -1, -1
1750073125.1800969, 360.0, 0.19, 1.37, 54.0
1750073125.225571, 0.0, 0.12, 1.37, 52.0
1750073125.2746663, 0.0, 0.06, 1.44, 52.0
1750073125.319411, 0.0, 0.06, 1.5, 55.0
1750073125.3649049, 0.0, 0.06, 1.5, 55.0
1750073125.4135833, 0.0, 0.06, 1.56, 54.0
1750073125.4588714, 0.0, 0.12, 1.56, 56.0
1750073125.504575, 0.0, 0.12, 1.63, 57.0
1750073125.548796, 0.0, 0.12, 1.75, 62.0
1750073125.5938902, 0.0, 0.12, 1.81, 59.0
1750073125.639516, 0.0, 0.12, 1.88, 58.0
1750073125.6888351, 0.0, 0.12, 1.94, 60.0
1750073125.7373407, 0.0, 0.12, 2.25, 61.0
1750073125.7869725, 0.0, 0.12, 2.75, 62.0
1750073125.83568, 0.0, 0.12, 3.25, 64.0
1750073125.88124, 0.0, 0.12, 3.75, 66.0
1750073125.9260879, 0.0, 0.12, 4.13, 67.0
1750073125.9753268, 0.0, 0.12, 4.56, 72.0
1750073126.0200756, 0.0, 0.12, 5.0, 71.0
1750073126.0698967, 0.0, 0.12, 5.31, 72.0
1750073126.1183815, 0.0, 0.12, 5.69, 72.0
1750073126.1674757, 0.0, 0.12, 6.06, 75.0
1750073126.2170072, 0.0, 0.12, 6.38, 75.0
1750073126.2661262, 0.0, 0.19, 6.5, 75.0
1750073126.314801, 0.0, 0.19, 6.5, 72.0
1750073126.3600638, 0.0, 0.19, 6.5, 74.0
1750073126.409647, 0.0, 0.19, 6.5, 76.0
1750073126.4582744, 0.0, 0.19, 6.5, 73.0
1750073126.5075512, 0.0, 0.19, 6.5, 77.0
1750073126.5566099, 0.0, 0.19, 6.5, 75.0
1750073126.605712, 0.0, 0.19, 6.5, 74.0
1750073126.650718, 0.0, 0.19, 6.5, 74.0
1750073126.6997988, 0.0, 0.19, 6.5, 74.0
1750073126.749301, 0.0, 0.19, 6.5, 72.0
1750073126.7943115, 0.0, 0.19, 6.5, 74.0
1750073126.8388343, 0.0, 0.19, 6.5, 75.0
1750073126.8878765, 0.0, 0.19, 6.5, 74.0
1750073126.937493, 0.0, 0.19, 6.5, 75.0
1750073126.9827538, 0.0, 0.19, 6.5, 77.0
1750073127.0322664, 0.0, 0.19, 6.5, 74.0
1750073127.0805426, 0.0, 0.19, 6.5, 73.0
1750073127.1301463, 0.0, 0.19, 6.5, 74.0
1750073127.1790056, 0.0, 0.19, 6.5, 71.0
1750073127.2285306, 0.0, 0.19, 6.5, 72.0
1750073127.2737842, 0.0, 0.19, 6.5, 75.0
1750073127.3221102, 0.0, 0.19, 6.5, 73.0
1750073127.3674288, 0.0, 0.19, 6.5, 73.0
1750073127.4125304, 0.0, 0.19, 6.5, 71.0
1750073127.4617558, 0.0, 0.19, 6.5, 73.0
1750073127.5113244, 0.0, 0.19, 6.5, 73.0
1750073127.5613942, 0.0, 0.19, 6.5, 73.0
1750073127.6091857, 0.0, 0.19, 6.5, 74.0
1750073127.6586385, 0.0, 0.19, 6.5, 74.0
1750073127.7031667, 0.0, 0.19, 6.5, 71.0
1750073127.7522945, 0.0, 0.19, 6.5, 72.0
1750073127.8018672, 0.0, 0.19, 6.5, 73.0
1750073127.8464856, 0.0, 0.19, 6.5, 75.0
1750073127.8919468, 0.0, 0.19, 6.5, 71.0
1750073127.9415386, 0.0, 0.19, 6.5, 74.0
1750073127.9900787, 0.0, 0.19, 6.5, 75.0
1750073128.0349085, 0.0, 0.19, 6.5, 76.0
1750073128.084095, 0.0, 0.19, 6.5, 75.0
