Total recording time: 3524 ms
Valve inflation times (ms): [200, 1000, 1000]
time, x, y, z, h
1750073431.5250921, 0.0, 0.25, 2.0, 53.0
1750073431.5698678, 0.0, 0.25, 2.0, 53.0
1750073431.6183422, 0.0, 0.25, 2.0, 53.0
1750073431.6638272, 0.0, 0.25, 2.0, 53.0
1750073431.7130845, 0.0, 0.25, 2.0, 51.0
1750073431.7579408, 0.0, 0.25, 2.0, 51.0
1750073431.803024, 0.0, 0.25, 2.0, 53.0
1750073431.8517883, 0.0, 0.25, 2.0, 53.0
1750073431.901076, 0.0, 0.25, 2.0, 52.0
1750073431.9512038, 0.0, 0.25, 2.0, 53.0
1750073431.9996212, 0.0, 0.25, 2.0, 52.0
1750073431.9996212, -1, -1, -1, -1
1750073432.0778215, 0.0, 0.25, 2.0, 53.0
1750073432.1232378, 0.0, 0.19, 2.0, 54.0
1750073432.167918, 0.0, 0.19, 2.13, 54.0
1750073432.2131894, 0.0, 0.19, 2.31, 56.0
1750073432.2581966, 0.0, 0.12, 2.38, 55.0
1750073432.3026059, 359.94, 0.19, 2.69, 56.0
1750073432.3525372, 359.94, 0.19, 3.06, 62.0
1750073432.4007053, 359.94, 0.19, 3.56, 60.0
1750073432.4462774, 359.94, 0.19, 4.06, 61.0
1750073432.4956264, 359.94, 0.19, 4.5, 63.0
1750073432.5442152, 359.88, 0.19, 5.0, 61.0
1750073432.5933678, 359.88, 0.19, 5.5, 66.0
1750073432.6425693, 359.88, 0.19, 6.0, 64.0
1750073432.6919236, 359.88, 0.19, 6.5, 68.0
1750073432.7368023, 359.88, 0.19, 7.0, 71.0
1750073432.7858286, 359.88, 0.19, 7.38, 70.0
1750073432.8353007, 359.88, 0.19, 7.75, 72.0
1750073432.8840446, 359.88, 0.19, 8.19, 71.0
1750073432.9332979, 359.88, 0.19, 8.56, 75.0
1750073432.9790318, 359.88, 0.19, 8.88, 74.0
1750073433.0282378, 359.88, 0.19, 9.19, 75.0
1750073433.076721, 359.88, 0.19, 9.44, 72.0
1750073433.1218834, 359.88, 0.44, 9.63, 75.0
1750073433.1715548, 359.88, 0.5, 9.69, 74.0
1750073433.2200418, 359.88, 0.56, 9.69, 74.0
1750073433.2658072, 359.88, 0.56, 9.69, 74.0
1750073433.3110943, 359.88, 0.56, 9.69, 73.0
1750073433.3596642, 359.88, 0.56, 9.69, 74.0
1750073433.4088259, 359.88, 0.56, 9.69, 73.0
1750073433.4572034, 359.88, 0.56, 9.69, 74.0
1750073433.5065653, 359.88, 0.56, 9.69, 73.0
1750073433.556214, 359.88, 0.56, 9.69, 76.0
1750073433.604992, 359.88, 0.56, 9.69, 75.0
1750073433.6545522, 359.88, 0.56, 9.69, 75.0
1750073433.7039177, 359.88, 0.56, 9.69, 73.0
1750073433.7529309, 359.88, 0.56, 9.69, 74.0
1750073433.8017352, 359.88, 0.56, 9.69, 72.0
1750073433.851343, 359.88, 0.56, 9.69, 71.0
1750073433.9006343, 359.88, 0.56, 9.69, 75.0
1750073433.9453151, 359.88, 0.56, 9.69, 74.0
1750073433.9949803, 359.88, 0.56, 9.69, 73.0
1750073434.0392182, 359.88, 0.56, 9.69, 74.0
1750073434.0888886, 359.88, 0.56, 9.69, 75.0
1750073434.137272, 359.88, 0.56, 9.69, 75.0
1750073434.1870253, 359.88, 0.56, 9.69, 72.0
1750073434.2357724, 359.88, 0.56, 9.69, 73.0
1750073434.2855053, 359.88, 0.56, 9.69, 76.0
1750073434.330285, 359.88, 0.56, 9.69, 72.0
1750073434.3793635, 359.88, 0.56, 9.69, 75.0
1750073434.4290175, 359.88, 0.56, 9.69, 73.0
1750073434.4775577, 359.88, 0.56, 9.69, 74.0
1750073434.5263617, 359.88, 0.56, 9.69, 75.0
1750073434.5759118, 359.88, 0.56, 9.69, 74.0
1750073434.6246097, 359.88, 0.56, 9.69, 76.0
1750073434.6701498, 359.88, 0.56, 9.69, 77.0
1750073434.719399, 359.88, 0.56, 9.69, 73.0
1750073434.7683682, 359.88, 0.56, 9.69, 73.0
1750073434.8133574, 359.88, 0.56, 9.69, 75.0
1750073434.8590815, 359.88, 0.56, 9.69, 77.0
1750073434.9077363, 359.88, 0.56, 9.69, 73.0
1750073434.9533217, 359.88, 0.56, 9.69, 74.0
1750073435.001622, 359.88, 0.56, 9.69, 74.0
