Total recording time: 3529 ms
Valve inflation times (ms): [1000, 1000, 1000]
time, x, y, z, h
1750072662.459517, 360.0, 0.0, 0.5, 52.0
1750072662.508054, 360.0, 0.0, 0.5, 52.0
1750072662.5573788, 360.0, 0.0, 0.5, 49.0
1750072662.607057, 360.0, 0.0, 0.5, 51.0
1750072662.6558173, 360.0, 0.0, 0.5, 51.0
1750072662.7006423, 360.0, 0.0, 0.5, 53.0
1750072662.7459652, 360.0, 0.0, 0.5, 52.0
1750072662.794691, 360.0, 0.0, 0.5, 54.0
1750072662.8404021, 360.0, 0.0, 0.5, 50.0
1750072662.8851156, 360.0, 0.0, 0.5, 51.0
1750072662.9301696, 360.0, 0.0, 0.5, 52.0
1750072662.9301696, -1, -1, -1, -1
1750072663.0118968, 360.0, 0.0, 0.5, 53.0
1750072663.0570688, 0.0, -0.06, 0.44, 52.0
1750072663.106793, 0.0, -0.06, 0.56, 53.0
1750072663.1510038, 0.0, -0.06, 0.63, 53.0
1750072663.2008383, 0.0, -0.06, 0.63, 56.0
1750072663.250319, 0.0, -0.06, 0.69, 55.0
1750072663.2943442, 359.94, -0.06, 0.75, 57.0
1750072663.33961, 359.94, -0.06, 0.81, 57.0
1750072663.3851638, 359.94, -0.06, 0.94, 60.0
1750072663.4297392, 359.94, 0.0, 1.0, 59.0
1750072663.4792717, 359.94, 0.0, 1.06, 59.0
1750072663.528113, 359.94, 0.0, 1.19, 63.0
1750072663.5777457, 359.94, 0.0, 1.25, 62.0
1750072663.6214283, 359.94, 0.0, 1.31, 64.0
1750072663.6720357, 359.94, 0.0, 1.37, 63.0
1750072663.7206848, 359.94, 0.0, 1.44, 64.0
1750072663.7699573, 359.94, 0.0, 1.5, 71.0
1750072663.8184955, 359.94, 0.0, 1.56, 71.0
1750072663.8683693, 359.94, 0.0, 1.63, 69.0
1750072663.9129636, 359.94, 0.06, 1.69, 69.0
1750072663.9628057, 359.94, 0.06, 1.69, 66.0
1750072664.0116675, 359.94, 0.06, 1.75, 72.0
1750072664.061172, 359.94, 0.31, 1.81, 71.0
1750072664.1102366, 359.94, 0.44, 1.88, 72.0
1750072664.1593015, 359.94, 0.44, 1.88, 72.0
1750072664.2083502, 359.94, 0.44, 1.88, 68.0
1750072664.257522, 359.94, 0.44, 1.88, 69.0
1750072664.3066952, 359.94, 0.44, 1.88, 72.0
1750072664.3509238, 359.94, 0.44, 1.88, 69.0
1750072664.4003758, 359.94, 0.44, 1.88, 69.0
1750072664.4500787, 359.94, 0.44, 1.88, 70.0
1750072664.4986134, 359.94, 0.44, 1.88, 69.0
1750072664.5442953, 359.94, 0.44, 1.88, 71.0
1750072664.5929258, 359.94, 0.44, 1.88, 70.0
1750072664.6422288, 359.94, 0.44, 1.88, 71.0
1750072664.6877813, 359.94, 0.44, 1.88, 73.0
1750072664.7322888, 359.94, 0.44, 1.88, 70.0
1750072664.7819831, 359.94, 0.44, 1.88, 71.0
1750072664.8301032, 359.94, 0.44, 1.88, 69.0
1750072664.8798468, 359.94, 0.44, 1.88, 67.0
1750072664.9293432, 359.94, 0.44, 1.88, 71.0
1750072664.978041, 359.94, 0.44, 1.88, 68.0
1750072665.023772, 359.94, 0.44, 1.88, 70.0
1750072665.0723083, 359.94, 0.44, 1.88, 72.0
1750072665.1219845, 359.94, 0.44, 1.88, 72.0
1750072665.1711419, 359.94, 0.44, 1.88, 71.0
1750072665.215816, 359.94, 0.44, 1.88, 70.0
1750072665.2647548, 359.94, 0.44, 1.88, 71.0
1750072665.3144627, 359.94, 0.44, 1.88, 74.0
1750072665.3629978, 359.94, 0.44, 1.88, 68.0
1750072665.4122915, 359.94, 0.44, 1.88, 71.0
1750072665.4614582, 359.94, 0.44, 1.88, 70.0
1750072665.5067909, 359.94, 0.44, 1.88, 67.0
1750072665.5555537, 359.94, 0.44, 1.88, 69.0
1750072665.604926, 359.94, 0.44, 1.88, 69.0
1750072665.6536808, 359.94, 0.44, 1.88, 69.0
1750072665.703279, 359.94, 0.44, 1.88, 71.0
1750072665.7520075, 359.94, 0.44, 1.88, 69.0
1750072665.797181, 359.94, 0.44, 1.88, 68.0
1750072665.8467681, 359.94, 0.44, 1.88, 69.0
1750072665.8953524, 359.94, 0.44, 1.88, 72.0
1750072665.9445488, 359.94, 0.44, 1.88, 71.0
