Total recording time: 3522 ms
Valve inflation times (ms): [200, 1000, 1000]
time, x, y, z, h
1750073406.83151, 360.0, 0.31, 2.0, 52.0
1750073406.8800128, 360.0, 0.31, 2.0, 55.0
1750073406.9298046, 360.0, 0.31, 2.0, 53.0
1750073406.9781322, 360.0, 0.31, 2.0, 54.0
1750073407.0239286, 360.0, 0.31, 2.0, 55.0
1750073407.0692856, 360.0, 0.31, 2.0, 55.0
1750073407.1140106, 360.0, 0.31, 2.0, 53.0
1750073407.1583896, 359.94, 0.31, 2.0, 53.0
1750073407.2080255, 359.94, 0.31, 2.0, 53.0
1750073407.2565517, 359.94, 0.31, 2.0, 56.0
1750073407.3025997, 359.94, 0.31, 2.0, 53.0
1750073407.3025997, -1, -1, -1, -1
1750073407.3837476, 359.94, 0.31, 2.0, 50.0
1750073407.4294236, 0.0, 0.25, 2.0, 51.0
1750073407.473711, 0.0, 0.25, 2.13, 52.0
1750073407.5192974, 0.0, 0.25, 2.25, 55.0
1750073407.5646594, 0.0, 0.25, 2.38, 57.0
1750073407.6093657, 359.94, 0.25, 2.63, 58.0
1750073407.6584263, 359.94, 0.25, 3.0, 60.0
1750073407.7074962, 359.94, 0.31, 3.5, 61.0
1750073407.7526937, 359.94, 0.31, 4.0, 63.0
1750073407.802378, 359.94, 0.31, 4.44, 61.0
1750073407.8514874, 359.94, 0.31, 4.94, 62.0
1750073407.900207, 359.94, 0.31, 5.44, 66.0
1750073407.94993, 359.94, 0.31, 5.94, 67.0
1750073407.9986815, 359.94, 0.31, 6.44, 67.0
1750073408.0440521, 359.88, 0.31, 6.94, 72.0
1750073408.0927837, 359.88, 0.31, 7.31, 67.0
1750073408.1422489, 359.88, 0.31, 7.69, 71.0
1750073408.1908538, 359.88, 0.31, 8.13, 70.0
1750073408.239619, 359.88, 0.31, 8.5, 74.0
1750073408.2853556, 359.88, 0.31, 8.81, 73.0
1750073408.3299894, 359.88, 0.31, 9.06, 72.0
1750073408.3753743, 359.88, 0.31, 9.38, 75.0
1750073408.420062, 359.88, 0.44, 9.56, 73.0
1750073408.465452, 359.94, 0.63, 9.63, 79.0
1750073408.5148127, 359.88, 0.63, 9.63, 72.0
1750073408.5635478, 359.88, 0.63, 9.63, 74.0
1750073408.6130385, 359.88, 0.63, 9.63, 71.0
1750073408.662393, 359.88, 0.63, 9.63, 74.0
1750073408.7111647, 359.88, 0.63, 9.63, 75.0
1750073408.7601783, 359.88, 0.63, 9.63, 77.0
1750073408.80971, 359.88, 0.63, 9.63, 73.0
1750073408.8584118, 359.88, 0.63, 9.63, 73.0
1750073408.9038424, 359.88, 0.63, 9.63, 72.0
1750073408.9533777, 359.88, 0.63, 9.63, 75.0
1750073409.0020878, 359.88, 0.63, 9.63, 73.0
1750073409.051507, 359.88, 0.63, 9.63, 76.0
1750073409.0964797, 359.88, 0.63, 9.63, 75.0
1750073409.1447682, 359.88, 0.63, 9.63, 76.0
1750073409.1947463, 359.88, 0.63, 9.63, 74.0
1750073409.2440064, 359.88, 0.63, 9.63, 73.0
1750073409.2925334, 359.88, 0.63, 9.63, 72.0
1750073409.342047, 359.88, 0.63, 9.63, 73.0
1750073409.3912818, 359.88, 0.63, 9.63, 73.0
1750073409.4400907, 359.88, 0.63, 9.63, 73.0
1750073409.489436, 359.88, 0.63, 9.63, 72.0
1750073409.538219, 359.88, 0.63, 9.63, 72.0
1750073409.587733, 359.88, 0.63, 9.63, 73.0
1750073409.6373906, 359.88, 0.63, 9.63, 75.0
1750073409.6856089, 359.88, 0.63, 9.63, 77.0
1750073409.7353098, 359.88, 0.63, 9.63, 76.0
1750073409.7838588, 359.88, 0.63, 9.63, 74.0
1750073409.8335297, 359.88, 0.63, 9.63, 74.0
1750073409.8820179, 359.88, 0.63, 9.63, 75.0
1750073409.9276934, 359.88, 0.63, 9.63, 76.0
1750073409.977161, 359.88, 0.63, 9.63, 72.0
1750073410.0258322, 359.88, 0.63, 9.63, 77.0
1750073410.071362, 359.88, 0.63, 9.63, 73.0
1750073410.1159494, 359.88, 0.63, 9.63, 73.0
1750073410.1654575, 359.88, 0.63, 9.63, 71.0
1750073410.2144628, 359.88, 0.63, 9.63, 73.0
1750073410.2631915, 359.88, 0.63, 9.63, 72.0
1750073410.3088078, 359.88, 0.63, 9.63, 74.0
