Total recording time: 3521 ms
Valve inflation times (ms): [200, 1000, 1000]
time, x, y, z, h
1750073249.5741029, 360.0, 0.31, 2.0, 57.0
1750073249.6225133, 0.0, 0.31, 2.0, 53.0
1750073249.668131, 0.0, 0.31, 2.0, 54.0
1750073249.7165356, 0.0, 0.31, 2.0, 55.0
1750073249.7662418, 0.0, 0.31, 2.0, 56.0
1750073249.8106813, 0.0, 0.31, 2.0, 52.0
1750073249.8559046, 0.0, 0.31, 2.0, 53.0
1750073249.9055605, 0.0, 0.31, 2.0, 53.0
1750073249.9551635, 0.0, 0.31, 2.0, 53.0
1750073250.003899, 0.0, 0.31, 2.0, 54.0
1750073250.0484273, 0.0, 0.31, 2.0, 55.0
1750073250.0484273, -1, -1, -1, -1
1750073250.1269639, 0.0, 0.31, 2.0, 52.0
1750073250.1715577, 0.0, 0.25, 1.94, 54.0
1750073250.216661, 0.0, 0.25, 2.13, 56.0
1750073250.2621422, 0.0, 0.25, 2.19, 55.0
1750073250.3067708, 0.0, 0.25, 2.38, 55.0
1750073250.3560145, 0.0, 0.25, 2.5, 56.0
1750073250.404608, 359.94, 0.25, 3.0, 58.0
1750073250.4539938, 359.94, 0.31, 3.44, 58.0
1750073250.4986742, 359.94, 0.31, 3.94, 61.0
1750073250.5478268, 359.94, 0.31, 4.31, 63.0
1750073250.5974662, 359.94, 0.31, 4.81, 65.0
1750073250.646879, 359.94, 0.31, 5.31, 65.0
1750073250.6956599, 359.94, 0.31, 5.81, 65.0
1750073250.7407498, 359.94, 0.31, 6.31, 68.0
1750073250.7893226, 359.94, 0.31, 6.63, 70.0
1750073250.8392732, 359.94, 0.31, 7.13, 68.0
1750073250.8879137, 359.94, 0.31, 7.5, 68.0
1750073250.9374976, 359.94, 0.31, 7.94, 68.0
1750073250.9865274, 359.94, 0.31, 8.31, 73.0
1750073251.0310285, 359.94, 0.31, 8.69, 71.0
1750073251.0765398, 359.94, 0.31, 8.94, 72.0
1750073251.1215749, 359.94, 0.31, 9.25, 71.0
1750073251.1671047, 359.94, 0.44, 9.44, 72.0
1750073251.21163, 359.94, 0.63, 9.44, 73.0
1750073251.2609544, 359.94, 0.63, 9.44, 74.0
1750073251.3097763, 359.88, 0.63, 9.44, 74.0
1750073251.359076, 359.88, 0.63, 9.44, 74.0
1750073251.4085855, 359.88, 0.63, 9.44, 73.0
1750073251.4573998, 359.88, 0.63, 9.44, 75.0
1750073251.5070088, 359.88, 0.63, 9.44, 73.0
1750073251.5516825, 359.88, 0.63, 9.44, 77.0
1750073251.6003706, 359.88, 0.63, 9.44, 73.0
1750073251.650069, 359.88, 0.63, 9.44, 76.0
1750073251.6989815, 359.88, 0.63, 9.44, 75.0
1750073251.7481687, 359.88, 0.63, 9.44, 71.0
1750073251.7978144, 359.88, 0.63, 9.44, 74.0
1750073251.8430774, 359.88, 0.63, 9.44, 75.0
1750073251.891642, 359.88, 0.63, 9.44, 73.0
1750073251.9409118, 359.88, 0.63, 9.44, 74.0
1750073251.990571, 359.88, 0.63, 9.44, 72.0
1750073252.038909, 359.88, 0.63, 9.44, 75.0
1750073252.088542, 359.88, 0.63, 9.44, 74.0
1750073252.13365, 359.88, 0.63, 9.44, 72.0
1750073252.1825035, 359.88, 0.63, 9.44, 74.0
1750073252.231509, 359.88, 0.63, 9.44, 75.0
1750073252.2810962, 359.88, 0.63, 9.44, 75.0
1750073252.330122, 359.88, 0.63, 9.44, 71.0
1750073252.374645, 359.88, 0.63, 9.44, 75.0
1750073252.4197154, 359.88, 0.63, 9.44, 75.0
1750073252.4692962, 359.88, 0.63, 9.44, 73.0
1750073252.5185187, 359.88, 0.63, 9.44, 74.0
1750073252.563749, 359.88, 0.63, 9.44, 76.0
1750073252.6123567, 359.88, 0.63, 9.44, 75.0
1750073252.6616168, 359.88, 0.63, 9.44, 74.0
1750073252.7111459, 359.88, 0.63, 9.44, 73.0
1750073252.7603118, 359.88, 0.63, 9.44, 74.0
1750073252.809619, 359.88, 0.63, 9.44, 73.0
1750073252.8546662, 359.88, 0.63, 9.44, 72.0
1750073252.9032116, 359.88, 0.63, 9.44, 72.0
1750073252.9517014, 359.88, 0.63, 9.44, 73.0
1750073253.0020342, 359.88, 0.63, 9.44, 73.0
1750073253.0505624, 359.88, 0.63, 9.44, 74.0
