Total recording time: 3509 ms
Valve inflation times (ms): [500, 1000, 1000]
time, x, y, z, h
1750073196.1522493, 0.0, 0.25, 1.69, 50.0
1750073196.2013385, 0.0, 0.25, 1.69, 53.0
1750073196.250865, 0.0, 0.25, 1.69, 52.0
1750073196.299956, 0.0, 0.25, 1.69, 52.0
1750073196.3491814, 0.0, 0.25, 1.69, 52.0
1750073196.3944519, 0.0, 0.25, 1.69, 50.0
1750073196.43917, 0.0, 0.25, 1.69, 53.0
1750073196.4838858, 0.0, 0.25, 1.69, 52.0
1750073196.5289671, 0.0, 0.25, 1.69, 52.0
1750073196.5745232, 0.0, 0.25, 1.69, 51.0
1750073196.618647, 0.0, 0.25, 1.69, 51.0
1750073196.618647, -1, -1, -1, -1
1750073196.7009165, 0.0, 0.25, 1.69, 51.0
1750073196.7459757, 0.0, 0.19, 1.63, 53.0
1750073196.7916462, 0.0, 0.12, 1.75, 52.0
1750073196.835815, 0.0, 0.12, 1.88, 55.0
1750073196.8816278, 0.0, 0.12, 2.0, 52.0
1750073196.930888, 0.0, 0.12, 2.06, 58.0
1750073196.9796221, 0.0, 0.12, 2.19, 60.0
1750073197.0249712, 0.0, 0.19, 2.25, 56.0
1750073197.0735283, 0.0, 0.19, 2.38, 60.0
1750073197.1188815, 0.0, 0.19, 2.44, 63.0
1750073197.1634753, 0.0, 0.19, 2.56, 64.0
1750073197.212765, 0.0, 0.19, 2.69, 62.0
1750073197.2625613, 0.0, 0.19, 2.94, 65.0
1750073197.3111072, 0.0, 0.19, 3.5, 67.0
1750073197.3567436, 0.0, 0.19, 3.94, 69.0
1750073197.4019227, 0.0, 0.19, 4.38, 71.0
1750073197.4460552, 0.0, 0.19, 4.81, 68.0
1750073197.4917085, 0.0, 0.19, 5.19, 66.0
1750073197.5367954, 0.0, 0.19, 5.63, 70.0
1750073197.581537, 0.0, 0.19, 5.94, 73.0
1750073197.630646, 0.0, 0.19, 6.31, 76.0
1750073197.6802998, 0.0, 0.19, 6.63, 75.0
1750073197.7245824, 0.0, 0.19, 6.94, 72.0
1750073197.7742112, 0.0, 0.19, 7.06, 73.0
1750073197.8192763, 0.0, 0.25, 7.06, 73.0
1750073197.8640223, 0.0, 0.25, 7.06, 75.0
1750073197.9132535, 0.0, 0.25, 7.06, 75.0
1750073197.962948, 0.0, 0.25, 7.06, 74.0
1750073198.0117924, 0.0, 0.25, 7.06, 74.0
1750073198.05642, 0.0, 0.25, 7.06, 73.0
1750073198.1057677, 0.0, 0.25, 7.06, 75.0
1750073198.155024, 0.0, 0.25, 7.06, 74.0
1750073198.2044299, 0.0, 0.25, 7.06, 74.0
1750073198.2489474, 0.0, 0.25, 7.06, 75.0
1750073198.2947125, 0.0, 0.25, 7.06, 75.0
1750073198.3394017, 0.0, 0.25, 7.06, 74.0
1750073198.3849742, 0.0, 0.25, 7.06, 76.0
1750073198.4331892, 0.0, 0.25, 7.06, 74.0
1750073198.4827824, 0.0, 0.25, 7.06, 73.0
1750073198.5274892, 0.0, 0.25, 7.06, 74.0
1750073198.5764942, 0.0, 0.25, 7.06, 75.0
1750073198.6261575, 0.0, 0.25, 7.06, 74.0
1750073198.6748297, 0.0, 0.25, 7.06, 73.0
1750073198.7198634, 0.0, 0.25, 7.06, 76.0
1750073198.7655892, 0.0, 0.25, 7.06, 77.0
1750073198.8148873, 0.0, 0.25, 7.06, 72.0
1750073198.863833, 0.0, 0.25, 7.06, 74.0
1750073198.9087403, 0.0, 0.25, 7.06, 73.0
1750073198.9575458, 0.0, 0.25, 7.06, 74.0
1750073199.002996, 0.0, 0.25, 7.06, 74.0
1750073199.0476916, 0.0, 0.25, 7.06, 74.0
1750073199.0924768, 0.0, 0.25, 7.06, 75.0
1750073199.137598, 0.0, 0.25, 7.06, 77.0
1750073199.1872768, 0.0, 0.25, 7.06, 75.0
1750073199.2365584, 0.0, 0.25, 7.06, 78.0
1750073199.2860959, 0.0, 0.25, 7.06, 77.0
1750073199.3343692, 0.0, 0.25, 7.06, 73.0
1750073199.3842106, 0.0, 0.25, 7.06, 75.0
1750073199.4288642, 0.0, 0.25, 7.06, 75.0
1750073199.477575, 0.0, 0.25, 7.06, 74.0
1750073199.5230045, 0.0, 0.25, 7.06, 74.0
1750073199.568453, 0.0, 0.25, 7.06, 75.0
1750073199.617494, 0.0, 0.25, 7.06, 74.0
