Total recording time: 3509 ms
Valve inflation times (ms): [1000, 1000, 1000]
time, x, y, z, h
1750072633.7601736, 0.0, 0.0, 0.56, 51.0
1750072633.80408, 0.0, 0.0, 0.56, 50.0
1750072633.8503723, 360.0, 0.0, 0.56, 49.0
1750072633.8994167, 0.0, 0.0, 0.56, 50.0
1750072633.947982, 0.0, 0.0, 0.56, 50.0
1750072633.9939432, 0.0, 0.0, 0.56, 50.0
1750072634.0384715, 0.0, 0.0, 0.56, 49.0
1750072634.08779, 0.0, 0.0, 0.56, 51.0
1750072634.1363084, 0.0, 0.0, 0.56, 50.0
1750072634.1816692, 0.0, 0.0, 0.56, 48.0
1750072634.2274587, 0.0, 0.0, 0.56, 52.0
1750072634.2274587, -1, -1, -1, -1
1750072634.3092833, 0.0, 0.0, 0.56, 51.0
1750072634.3539045, 0.0, 0.0, 0.56, 51.0
1750072634.3990233, 0.0, -0.06, 0.63, 50.0
1750072634.4477777, 0.0, -0.12, 0.75, 51.0
1750072634.496629, 0.0, -0.12, 0.88, 56.0
1750072634.542361, 0.0, -0.12, 0.94, 56.0
1750072634.5869691, 0.0, -0.12, 1.0, 57.0
1750072634.6326811, 0.0, -0.12, 1.06, 56.0
1750072634.6780667, 0.0, -0.12, 1.12, 55.0
1750072634.722845, 0.0, -0.12, 1.25, 58.0
1750072634.7713938, 360.0, -0.12, 1.31, 58.0
1750072634.8168817, 0.0, -0.12, 1.44, 59.0
1750072634.8615074, 0.0, -0.12, 1.56, 60.0
1750072634.9067578, 0.0, -0.12, 1.63, 64.0
1750072634.9514382, 0.0, -0.12, 1.69, 62.0
1750072635.00087, 0.0, -0.06, 1.75, 63.0
1750072635.0501115, 0.0, -0.06, 1.81, 63.0
1750072635.0991328, 0.0, -0.06, 1.88, 67.0
1750072635.1486964, 0.0, -0.06, 1.94, 65.0
1750072635.193945, 0.0, -0.06, 2.0, 66.0
1750072635.2426424, 0.0, 0.0, 2.0, 71.0
1750072635.2920072, 0.0, 0.0, 2.0, 69.0
1750072635.3407047, 0.0, 0.0, 2.25, 71.0
1750072635.3899827, 359.94, 0.0, 2.38, 71.0
1750072635.4394665, 359.94, 0.0, 2.38, 70.0
1750072635.4888546, 359.94, 0.0, 2.38, 69.0
1750072635.537491, 359.94, 0.0, 2.38, 65.0
1750072635.5865839, 359.94, 0.0, 2.38, 72.0
1750072635.6354618, 359.94, 0.0, 2.38, 74.0
1750072635.6808822, 359.94, 0.0, 2.38, 72.0
1750072635.7305038, 359.94, 0.0, 2.38, 71.0
1750072635.7797625, 359.94, 0.0, 2.38, 70.0
1750072635.8283606, 359.94, 0.0, 2.38, 71.0
1750072635.8735943, 359.94, 0.0, 2.38, 67.0
1750072635.9225416, 359.94, 0.0, 2.38, 70.0
1750072635.9718115, 359.94, 0.0, 2.38, 71.0
1750072636.021307, 359.94, 0.0, 2.38, 67.0
1750072636.0704834, 359.94, 0.0, 2.38, 75.0
1750072636.1150973, 359.94, 0.0, 2.38, 75.0
1750072636.1647713, 359.94, 0.0, 2.38, 71.0
1750072636.2139037, 359.94, 0.0, 2.38, 71.0
1750072636.2585883, 359.94, 0.0, 2.38, 70.0
1750072636.3068874, 359.94, 0.0, 2.38, 72.0
1750072636.352532, 359.94, 0.0, 2.38, 70.0
1750072636.4019535, 359.94, 0.0, 2.38, 70.0
1750072636.4510894, 359.94, 0.0, 2.38, 72.0
1750072636.5000348, 359.94, 0.0, 2.38, 71.0
1750072636.5456653, 359.94, 0.0, 2.38, 72.0
1750072636.5940201, 359.94, 0.0, 2.38, 68.0
1750072636.6435506, 359.94, 0.0, 2.38, 71.0
1750072636.6928978, 359.94, 0.0, 2.38, 73.0
1750072636.7415185, 359.94, 0.0, 2.38, 68.0
1750072636.7870677, 359.94, 0.0, 2.38, 71.0
1750072636.8356214, 359.94, 0.0, 2.38, 68.0
1750072636.8848875, 359.94, 0.0, 2.38, 71.0
1750072636.9345732, 359.94, 0.0, 2.38, 73.0
1750072636.983665, 359.94, 0.0, 2.38, 74.0
1750072637.0322104, 359.94, 0.0, 2.38, 70.0
1750072637.077566, 359.94, 0.0, 2.38, 69.0
1750072637.1272821, 359.94, 0.0, 2.38, 72.0
1750072637.1756063, 359.94, 0.0, 2.38, 71.0
1750072637.2251642, 359.94, 0.0, 2.38, 68.0
