Total recording time: 3513 ms
Valve inflation times (ms): [500, 1000, 1000]
time, x, y, z, h
1750073148.5473285, 360.0, 0.31, 1.69, 52.0
1750073148.5960174, 360.0, 0.31, 1.69, 52.0
1750073148.645718, 360.0, 0.31, 1.69, 51.0
1750073148.690472, 360.0, 0.31, 1.69, 51.0
1750073148.739734, 360.0, 0.31, 1.69, 48.0
1750073148.7885537, 360.0, 0.31, 1.69, 50.0
1750073148.8380954, 359.94, 0.31, 1.69, 50.0
1750073148.886694, 359.94, 0.31, 1.69, 49.0
1750073148.935879, 359.94, 0.31, 1.69, 50.0
1750073148.9813704, 359.94, 0.31, 1.69, 51.0
1750073149.02961, 359.94, 0.31, 1.69, 51.0
1750073149.02961, -1, -1, -1, -1
1750073149.108626, 359.94, 0.31, 1.69, 51.0
1750073149.1573143, 0.0, 0.19, 1.69, 55.0
1750073149.2064896, 0.0, 0.19, 1.81, 52.0
1750073149.2513275, 0.0, 0.19, 1.88, 55.0
1750073149.3010275, 0.0, 0.19, 2.0, 56.0
1750073149.3496785, 0.0, 0.19, 2.06, 57.0
1750073149.398497, 0.0, 0.19, 2.13, 59.0
1750073149.448018, 0.0, 0.19, 2.25, 58.0
1750073149.4967291, 0.0, 0.19, 2.31, 58.0
1750073149.5421932, 0.0, 0.25, 2.44, 61.0
1750073149.586921, 0.0, 0.25, 2.5, 60.0
1750073149.6321952, 0.0, 0.25, 2.63, 62.0
1750073149.6773405, 0.0, 0.25, 2.81, 63.0
1750073149.7228303, 0.0, 0.25, 3.38, 67.0
1750073149.7713885, 0.0, 0.25, 3.75, 68.0
1750073149.8206933, 0.0, 0.25, 4.25, 68.0
1750073149.869693, 0.0, 0.25, 4.69, 71.0
1750073149.9147906, 0.0, 0.25, 5.13, 71.0
1750073149.9597666, 0.0, 0.25, 5.56, 71.0
1750073150.0093627, 0.0, 0.25, 5.88, 75.0
1750073150.0580263, 0.0, 0.25, 6.25, 73.0
1750073150.1035752, 0.0, 0.25, 6.56, 75.0
1750073150.152114, 0.0, 0.37, 6.75, 74.0
1750073150.2012892, 0.0, 0.56, 6.81, 74.0
1750073150.251335, 0.0, 0.56, 6.81, 74.0
1750073150.2998855, 0.0, 0.56, 6.81, 72.0
1750073150.3490255, 0.0, 0.56, 6.81, 73.0
1750073150.3938334, 0.0, 0.56, 6.81, 72.0
1750073150.4431133, 0.0, 0.56, 6.81, 74.0
1750073150.493012, 0.0, 0.56, 6.81, 75.0
1750073150.541418, 0.0, 0.56, 6.81, 73.0
1750073150.5911164, 0.0, 0.56, 6.81, 72.0
1750073150.6394777, 0.0, 0.56, 6.81, 74.0
1750073150.6890252, 0.0, 0.56, 6.81, 74.0
1750073150.7344315, 0.0, 0.56, 6.81, 73.0
1750073150.7832239, 0.0, 0.56, 6.81, 75.0
1750073150.8289268, 0.0, 0.56, 6.81, 72.0
1750073150.8736613, 0.0, 0.56, 6.81, 74.0
1750073150.9214916, 0.0, 0.56, 6.81, 75.0
1750073150.9672709, 0.0, 0.56, 6.81, 72.0
1750073151.0124881, 0.0, 0.56, 6.81, 72.0
1750073151.0581152, 0.0, 0.56, 6.81, 71.0
1750073151.102638, 0.0, 0.56, 6.81, 71.0
1750073151.1518257, 0.0, 0.56, 6.81, 73.0
1750073151.201393, 0.0, 0.56, 6.81, 73.0
1750073151.2459567, 0.0, 0.56, 6.81, 73.0
1750073151.2955225, 0.0, 0.56, 6.81, 74.0
1750073151.343917, 0.0, 0.56, 6.81, 75.0
1750073151.3936102, 0.0, 0.56, 6.81, 75.0
1750073151.4428744, 0.0, 0.56, 6.81, 74.0
1750073151.4914343, 0.0, 0.56, 6.81, 73.0
1750073151.5407014, 0.0, 0.56, 6.81, 71.0
1750073151.5863469, 0.0, 0.56, 6.81, 72.0
1750073151.6353672, 0.0, 0.56, 6.81, 73.0
1750073151.6800213, 0.0, 0.56, 6.81, 76.0
1750073151.7252307, 0.0, 0.56, 6.81, 76.0
1750073151.774878, 0.0, 0.56, 6.81, 76.0
1750073151.823898, 0.0, 0.56, 6.81, 73.0
1750073151.8725345, 0.0, 0.56, 6.81, 74.0
1750073151.9171603, 0.0, 0.56, 6.81, 72.0
1750073151.966783, 0.0, 0.56, 6.81, 72.0
1750073152.011933, 0.0, 0.56, 6.81, 77.0
