Total recording time: 3529 ms
Valve inflation times (ms): [200, 1000, 1000]
time, x, y, z, h
1750073369.5094883, 0.0, 0.25, 1.56, 52.0
1750073369.559691, 0.0, 0.25, 1.56, 53.0
1750073369.608217, 0.0, 0.25, 1.56, 53.0
1750073369.6534548, 0.0, 0.25, 1.56, 54.0
1750073369.7026935, 0.0, 0.25, 1.56, 53.0
1750073369.7483222, 0.0, 0.25, 1.56, 55.0
1750073369.792703, 0.0, 0.25, 1.56, 49.0
1750073369.8418128, 0.0, 0.25, 1.56, 52.0
1750073369.8910563, 0.0, 0.25, 1.56, 54.0
1750073369.9407287, 0.0, 0.25, 1.56, 52.0
1750073369.9898329, 0.0, 0.25, 1.56, 51.0
1750073369.9898329, -1, -1, -1, -1
1750073370.071973, 0.0, 0.25, 1.56, 53.0
1750073370.1207402, 0.0, 0.19, 1.5, 54.0
1750073370.1698794, 0.0, 0.19, 1.56, 53.0
1750073370.2184942, 0.0, 0.19, 1.69, 54.0
1750073370.2631767, 0.0, 0.19, 1.75, 55.0
1750073370.3093667, 359.94, 0.19, 1.94, 57.0
1750073370.3539023, 359.94, 0.19, 2.44, 55.0
1750073370.399475, 359.94, 0.19, 2.81, 57.0
1750073370.4440777, 359.94, 0.25, 3.31, 59.0
1750073370.4932597, 359.94, 0.25, 3.75, 61.0
1750073370.5420654, 359.88, 0.25, 4.25, 66.0
1750073370.5919657, 359.88, 0.25, 4.75, 62.0
1750073370.6406102, 359.88, 0.25, 5.25, 65.0
1750073370.6893735, 359.88, 0.25, 5.75, 69.0
1750073370.7349436, 359.88, 0.25, 6.25, 67.0
1750073370.784223, 359.88, 0.25, 6.63, 70.0
1750073370.833735, 359.88, 0.25, 7.06, 72.0
1750073370.8830504, 359.88, 0.25, 7.44, 71.0
1750073370.9315498, 359.88, 0.25, 7.88, 72.0
1750073370.9808924, 359.88, 0.25, 8.19, 71.0
1750073371.0254545, 359.88, 0.25, 8.56, 71.0
1750073371.0748014, 359.88, 0.25, 8.81, 75.0
1750073371.124494, 359.88, 0.25, 8.94, 75.0
1750073371.173705, 359.88, 0.25, 8.94, 74.0
1750073371.2229545, 359.88, 0.25, 8.94, 71.0
1750073371.2715514, 359.88, 0.25, 8.94, 73.0
1750073371.3162007, 359.88, 0.25, 8.94, 75.0
1750073371.3618374, 359.88, 0.25, 8.94, 75.0
1750073371.4110506, 359.88, 0.25, 8.94, 75.0
1750073371.4598467, 359.88, 0.25, 8.94, 73.0
1750073371.50537, 359.88, 0.25, 8.94, 75.0
1750073371.5502775, 359.88, 0.25, 8.94, 72.0
1750073371.5946279, 359.88, 0.25, 8.94, 72.0
1750073371.6443698, 359.88, 0.25, 8.94, 74.0
1750073371.6932454, 359.88, 0.25, 8.94, 75.0
1750073371.7422247, 359.88, 0.25, 8.94, 71.0
1750073371.7875426, 359.88, 0.25, 8.94, 72.0
1750073371.8371832, 359.88, 0.25, 8.94, 73.0
1750073371.8854306, 359.88, 0.25, 8.94, 74.0
1750073371.9350982, 359.88, 0.31, 8.94, 72.0
1750073371.9852428, 359.88, 0.31, 8.94, 71.0
1750073372.0338514, 359.88, 0.31, 8.94, 73.0
1750073372.078096, 359.88, 0.31, 8.94, 69.0
1750073372.1277583, 359.88, 0.31, 8.94, 73.0
1750073372.176821, 359.88, 0.31, 8.94, 76.0
1750073372.2254622, 359.88, 0.31, 8.94, 71.0
1750073372.2755027, 359.88, 0.31, 8.94, 76.0
1750073372.324352, 359.88, 0.31, 8.94, 73.0
1750073372.373867, 359.88, 0.31, 8.94, 77.0
1750073372.4224727, 359.88, 0.31, 8.94, 72.0
1750073372.4680367, 359.88, 0.31, 8.94, 71.0
1750073372.5162406, 359.88, 0.31, 8.94, 73.0
1750073372.5659847, 359.88, 0.31, 8.94, 76.0
1750073372.6153095, 359.88, 0.31, 8.94, 74.0
1750073372.6640892, 359.88, 0.31, 8.94, 76.0
1750073372.7093859, 359.88, 0.31, 8.94, 74.0
1750073372.7580528, 359.88, 0.31, 8.94, 72.0
1750073372.807388, 359.88, 0.31, 8.94, 73.0
1750073372.853001, 359.88, 0.31, 8.94, 74.0
1750073372.897853, 359.88, 0.31, 8.94, 75.0
1750073372.9472528, 359.88, 0.31, 8.94, 73.0
1750073372.9963026, 359.88, 0.31, 8.94, 72.0
